區處別,系統編號,系統名稱,100年供水量(CMD),101年供水量(CMD),102年供水量(CMD),103年供水量(CMD),104年供水量(CMD),100年供水戶數(戶),101年供水戶數(戶),102年供水戶數(戶),103年供水戶數(戶),104年供水戶數(戶)
1區處,0101-0113,基隆系統-雙溪系統,"355,737","343,593","330,620","323,657","323,911","241,435","244,237","246,597","248,562","249,884"
1區處,0104-0112,坪林系統-烏來系統,"14,566","14,589","13,695","14,402","14,454","11,610","11,821","11,875","12,069","12,135"
1區處,105,淡水系統,"81,703","80,274","84,125","89,905","89,279","67,108","70,278","72,740","76,653","79,125"
1區處,106,金山系統,"4,900","6,350","6,419","5,976","5,576","6,586","6,613","6,648","6,690","6,708"
2區處,201,石門區系統,"1,158,042","1,146,985","1,162,495","1,207,433","1,135,539","691,472","693,322","709,749","727,547","746,680"
2區處,206,復興系統,"1,236","1,586","1,205","1,141","1,098",724,735,739,750,760
3區處,301,新竹系統,"476,449","494,115","496,885","504,210","497,697","215,130","239,114","246,471","253,441","259,547"
3區處,302,竹東系統,"32,999","30,878","31,643","31,252","30,828","27,667","28,053","28,251","28,678","29,519"
3區處,311,新埔系統,"8,338","8,398","7,719","7,501","7,741","5,861","6,039","6,071","6,368","6,612"
3區處,313,苗栗系統,"51,393","51,885","51,036","54,102","51,809","41,946","42,759","43,358","44,467","45,205"
3區處,0315-0322,"竹南頭份系統-南庄系統
","113,944","114,398","114,368","114,963","117,114","59,703","61,103","63,661","65,144","67,317"
3區處,0316-0314,鯉魚潭系統-大湖系統,"42,588","39,418","39,339","39,880","36,926","29,023","29,681","30,312","30,846","31,225"
3區處,0303-0304-0305-0308-0309-0323-0324,尖石系統-梅花系統-北埔系統-五峰系統-內灣系統-芎林系統-關西系統,15653,16278,16037,15718,16044,13120,13205,13209,13552,13762
4區處,401,台中區系統,"1,198,135","1,210,903","1,249,882","1,286,528","1,259,534","740,000","754,788","768,568","784,903","807,410"
4區處,405,新社系統,"6,113","6,001","6,668","6,559","6,534","5,375","5,441","5,505","5,548","5,660"
4區處,413,霧峰系統,"20,332","21,218","20,459","20,341","20,202","14,643","14,893","15,357","15,654","15,942"
4區處,0415-0407-0417,東勢系統-谷關系統-梨山系統,"17,533","17,544","17,442","17,781","18,373","16,526","16,560","16,682","16,830","16,980"
4區處,416,卓蘭系統,"4,530","4,644","4,596","4,600","4,727","4,991","5,015","5,041","5,081","5,124"
4區處,418,埔里系統,"25,960","26,141","26,653","25,523","25,227","20,482","20,493","20,591","20,689","20,819"
4區處,428,大肚系統,"10,155","10,393","10,806","9,701","9,109","8,568","8,958","10,333","10,494","11,051"
4區處,429,南投系統,"57,152","55,841","56,372","57,823","59,976","36,672","37,064","37,305","37,514","37,721"
4區處,433,水里系統,"22,413","20,745","20,975","21,281","20,314","22,888","22,970","23,204","23,249","23,416"
4區處,435,大甲系統,"22,845","22,581","22,520","23,254","24,309","19,480","20,459","20,760","21,941","22,667"
4區處,437,外埔系統,"7,217","7,594","7,556","7,877","6,949","4,991","5,028","5,113","5,589","5,673"
4區處,439,草屯系統,"47,806","49,004","49,162","49,704","49,888","41,511","41,909","42,376","42,860","43,307"
4區處,0419-0420-0423-0424-0434-0444-0445-0447-0448-0449-0450,大坪頂系統-霧社系統-日月潭系統-德化系統-信義系統-坪頂系統-鹿谷系統-地利系統-人倫系統-羅娜系統-國姓系統,13575,15801,14038,14620,15597,13588,13657,13707,13816,13892
5區處,501,嘉義系統,"286,703","288,018","288,988","291,447","292,232","248,337","251,275","253,006","254,472","255,800"
5區處,513,梅山系統,"6,107","6,233","6,160","6,350","6,164","4,888","5,011","5,059","5,087","5,117"
5區處,514,古坑系統,"10,608","11,295","10,687","11,514","10,965","10,227","10,478","10,577","10,641","10,704"
5區處,519,林內系統,"196,047","193,616","192,215","191,799","191,597","161,875","164,517","165,982","166,941","167,759"
5區處,532,崙背系統,"16,478","16,233","15,658","15,812","15,867","18,494","18,771","18,886","18,887","18,909"
5區處,533,麥寮系統,"19,072","20,510","20,780","20,971","20,635","15,504","15,901","16,138","16,314","16,423"
5區處,538,四湖系統,"9,605","9,191","10,085","9,736","8,552","10,225","10,303","10,335","10,352","10,275"
5區處,0505-0509-0544-0545,吳鳳系統-大埔系統-樂野系統-阿里山系統,"1,929","1,841","1,858","1,978","2,091","1,611","1,625","1,667","1,739","1,754"
6區處,601,台南區系統,"834,780","837,272","863,626","887,696","869,036","633,141","641,358","648,227","653,283","657,685"
6區處,608,楠西玉井系統,"8,480","8,350","8,697","8,448","7,852","8,455","8,460","8,530","8,596","8,637"
7區處,701,高雄區系統,"1,582,426","1,562,600","1,536,464","1,583,098","1,509,208","958,074","969,353","978,990","987,666","996,042"
7區處,703,旗山系統,"17,157","16,843","16,090","16,244","16,640","15,642","15,748","15,968","16,284","16,438"
7區處,706,美濃系統,"6,738","6,555","7,548","7,773","7,905","8,219","8,382","8,564","8,660","8,557"
7區處,713,屏東系統,"58,833","58,612","57,823","60,376","59,473","59,839","60,380","62,367","63,624","64,516"
7區處,715,高樹系統,"7,068","7,192","7,491","6,864","6,988","6,864","6,901","6,946","6,970","7,055"
7區處,729,馬公系統,"22,901","22,684","22,781","23,586","23,983","24,036","24,910","25,760","26,385","27,027"
7區處,750,牡丹系統,"71,202","73,975","72,051","74,747","78,059","53,686","54,531","55,578","56,966","57,962"
7區處,0704-0708-0709-0710-0719-0734-0737-0738-0739-0751-0752-0755,茂林系統-甲仙系統-六龜系統-新威系統-木梓系統-寶隆系統-民族系統-民生系統-寶來系統-多納系統-勤和系統-梅蘭系統,"5,830","6,717","6,281","5,760","6,249","7,750","7,976","8,104","8,124","8,472"
7區處,0707-0712-0714-0717-0718-0724-0725-0728-0731-0732-0736-0740-0741-0743-0745-0746-0747-0748-0749-0754,"廣興系統-東源系統-餉潭系統-高士系統-三地系統-南和系統-四春系統-信國系統-崙東系統-枋寮系統-瑪家系統-佳興系統-萬安系統-武潭系統-來義系統-北勢系統-霧台系統-阿禮系統-霧大系統-德文系統
","15,681","18,008","19,232","19,516","19,267","10,127","11,479","11,932","12,145","12,412"
7區處,0711-0753-0756-0759-0760,吉貝系統-白沙系統-望安系統-西嶼系統-七美系統,"7,244","7,019","6,877","6,584","5,546","8,525","8,735","8,819","8,933","8,957"
8區處,0801-0813-0814-0815-0816,宜蘭系統-松羅系統-英士系統-四季系統-南山系統,"66,818","67,413","68,953","69,851","71,130","70,381","72,290","73,528","74,508","75,528"
8區處,0804-0810-0818-0819-0820,羅東系統-南澳系統-東澳系統-金洋系統-澳花系統,"98,915","99,660","101,884","103,006","105,654","75,673","76,761","77,940","79,131","80,269"
9區處,0901-0908-0915-0931,花蓮系統-和平系統-池南系統-水璉系統,"90,125","90,030","90,455","95,463","94,718","82,152","82,955","83,758","84,300","85,133"
9區處,0916-0922-0924-0926,鳳林系統-豐濱系統-富源系統-港口系統,"11,646","11,548","10,415","10,100","9,606","10,417","10,528","10,599","10,679","10,788"
9區處,0927-0923-0928-0934,玉里系統-瑞穗系統-富里系統-松蒲系統,16130,14178,13507,13379,13859,10623,10761,10937,11045,11265
10區處,1001-1002-1006-1015-1016-1023-1025-1026-1027-1029-1031-1032-1037-1039-1040-1043-1044-1048,台東系統-初鹿系統-鹿野系統-池上系統-關山系統-大武系統-金崙系統-太麻里系統-下大溪系統-泰源系統-森永系統-安朔系統-新化系統-愛國埔系統-綠島系統-蘭嶼系統-土阪系統-利稻系統,"72,712","66,740","67,858","68,012","67,630","57,092","57,652","57,966","58,075","58,729"
10區處,1034,成功系統,"5,121","4,765","4,833","5,179","5,118","6,901","6,956","7,001","6,846","6,945"
11區處,1101,彰化系統,"110,873","114,689","115,255","117,974","118,568","103,237","105,283","106,951","108,003","109,424"
11區處,1102,花壇系統,"21,891","22,181","23,339","21,250","22,179","21,477","21,820","22,148","22,405","22,932"
11區處,1103,北斗系統,"47,894","46,704","45,584","47,098","47,701","45,953","46,525","47,112","47,619","48,180"
11區處,1104,二林系統,"25,001","25,279","26,533","27,906","27,564","29,218","29,476","29,812","30,100","30,392"
11區處,1108,鹿港系統,"37,510","40,101","40,153","40,594","40,611","31,435","31,939","32,311","32,695","33,082"
11區處,1109,員林系統,"43,663","39,737","42,617","40,238","41,183","37,469","37,966","38,372","38,654","39,036"
11區處,1110,二水系統,"36,882","35,772","35,563","36,070","36,299","34,919","35,183","35,412","35,624","35,804"
11區處,1111,溪湖系統,"34,596","33,793","33,597","35,245","36,030","35,513","36,007","36,403","36,805","37,153"
12區處,1201,板新區系統,"808,142","809,395","817,858","821,186","800,050","713,691","728,045","736,176","745,471","752,149"
